Store,Area,Zone,Sku,Qty
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,330472,0001
071,02,102,532259,0001
071,02,102,518167,0001
071,02,102,330381,0001
071,02,102,330332,0001
071,02,102,330332,0001
071,02,102,330332,0001
071,02,102,330332,0001
071,02,102,330472,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518092,0001
071,02,102,518092,0001
071,02,102,518092,0001
071,02,102,518092,0001
071,02,102,518092,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,532259,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,518167,0001
071,02,102,532242,0001
071,02,102,532119,0001
071,02,102,532176,0001
071,02,102,532176,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,827253,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330399,0001
071,02,103,330472,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518100,0001
071,02,103,518092,0001
071,02,103,518092,0001
071,02,103,518795,0001
071,02,103,827220,0001
071,02,103,518126,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,932145,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,330456,0001
071,02,103,518167,0001
071,02,104,290221,0001
071,02,104,288092,0001
071,02,104,288092,0001
071,02,104,151480,0001
071,02,104,151480,0001
071,02,104,151480,0001
071,02,104,151480,0001
071,02,104,151480,0001
071,02,104,151480,0001
071,02,104,151480,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,518183,0001
071,02,104,151480,0001
071,02,104,646141,0001
071,02,104,646141,0001
071,02,104,646141,0001
071,02,104,330456,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330449,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330373,0001
071,02,104,330381,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,932137,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,330381,0001
071,02,104,518084,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,104,330332,0001
071,02,105,151480,0001
071,02,105,151480,0001
071,02,105,151480,0001
071,02,105,827253,0001
071,02,105,532127,0001
071,02,105,330332,0001
071,02,105,834614,0001
071,02,105,290221,0001
071,02,105,290221,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,290221,0001
071,02,105,290221,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,105,834614,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,048280,0001
071,02,106,932145,0001
071,02,106,834614,0001
071,02,106,151480,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,827253,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,834614,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,932202,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,827253,0001
071,02,107,932210,0001
071,02,107,932210,0001
071,02,107,932210,0001
071,02,107,932202,0001
071,02,107,932210,0001
071,02,107,932145,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,656512,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,151480,0001
071,02,108,932145,0001
071,02,108,827345,0001
071,02,108,827345,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
071,02,108,827253,0001
